appId,content,stars,at,thumbsUpCount
nimbus,Finding an old note takes longer than rewriting it.,2,2026-05-14,7
fittrack,The training plans are genuinely well designed and easy to follow.,4,2026-02-24,62
nimbus,"Best note app I have used, genuinely fast to open.",5,2026-01-08,0
fittrack,Background tracking eats power even when I am not exercising.,1,2025-02-14,18
payflow,"The app said the transfer succeeded, the recipient never received anything. Very frustrating.",1,2025-01-31,1
fittrack,Been using it for two years and the history view is excellent. Otherwise a decent app.,5,2026-01-29,0
nimbus,"Edits I make on the desktop never show up on mobile, so I email myself the text instead. Also refund request has gone unanswered for two weeks.",1,2025-07-08,0
nimbus,I have taken to copying important notes into a plain text file as a backup.,1,2025-12-31,7
nimbus,Refund request has gone unanswered for two weeks.,2,2026-06-26,7
payflow,Verification rejected my passport twice with no reason given.,1,2026-02-01,0
fittrack,Tracking a one hour walk drains forty percent of my battery. On top of that years of training history locked in with no export button anywhere.,1,2026-06-21,5
fittrack,Heart rate data is missing from half of my recorded sessions.,2,2026-04-17,0
payflow,I use my bank's own app now because at least the transfers complete. Otherwise a decent app.,1,2025-06-16,5
payflow,Money disappeared for six days before reappearing with no message. And then had to complain publicly before anyone responded to me.,1,2025-03-21,0
fittrack,There is no way to get my own data out in a usable format.,2,2025-06-24,4
fittrack,Tracking a one hour walk drains forty percent of my battery. Please fix this.,2,2026-03-29,0
nimbus,Sync silently fails and I only notice when a note is missing at work.,1,2025-07-25,6
fittrack,Tracking a one hour walk drains forty percent of my battery. And then pace readings jump around wildly and ruin the whole activity.,1,2025-01-09,0
payflow,I compare against another provider before every transfer now. But no phone number anywhere for an issue involving actual money.,1,2025-01-09,1
fittrack,Heart rate data is missing from half of my recorded sessions. Also years of training history locked in with no export button anywhere. Happens on both my devices.,3,2025-12-18,0
fittrack,The training plans are genuinely well designed and easy to follow.,5,2025-06-30,6
fittrack,GPS drifts badly so a five kilometre run is logged as seven.,1,2025-08-12,3
nimbus,I was charged for a yearly plan straight after the trial with no reminder.,3,2025-12-04,11
payflow,"The chat bot loops back to the same articles and there is no human option. But the app said the transfer succeeded, the recipient never received anything.",3,2025-07-21,0
fittrack,The route map shows me running through buildings and across a river. Also years of training history locked in with no export button anywhere.,1,2025-08-26,0
nimbus,No autosave means one crash costs me a whole meeting's notes.,1,2025-06-14,1
payflow,"When it works the transfer arrives within minutes, which is impressive.",5,2025-05-22,5
fittrack,"I export from the watch app and import here manually, which is ridiculous. Also years of training history locked in with no export button anywhere.",2,2025-03-21,0
fittrack,"Distance is wrong every single time, so I now carry a separate watch.",1,2025-07-09,28
payflow,Setting up a new recipient is quick and painless.,5,2026-02-27,3
nimbus,My notes stopped syncing between my laptop and my phone three days ago. This has been going on for months now.,1,2025-08-23,2
payflow,Account locked for a security check with no way to speak to anyone.,1,2026-02-13,0
fittrack,I keep a power bank in my pocket now just to finish a long ride.,1,2025-05-03,0
nimbus,Lost an hour of writing when the app crashed without saving.,1,2026-03-20,0
nimbus,A long note reverted to an old version and there is no history to restore from. Also the upgrade screen does not say what the free tier actually loses.,1,2025-05-09,5
nimbus,Tags are useless because search ignores them completely. Very frustrating.,2,2025-07-26,0
payflow,"The app said the transfer succeeded, the recipient never received anything. On top of that had to complain publicly before anyone responded to me.",2,2026-06-30,0
fittrack,Tracking a one hour walk drains forty percent of my battery.,1,2025-09-17,16
fittrack,I keep a power bank in my pocket now just to finish a long ride. Nobody seems to be looking at it.,2,2026-01-26,2
payflow,"The app said the transfer succeeded, the recipient never received anything.",2,2025-04-21,7
fittrack,The watch and the app disagree about how many steps I took today.,2,2025-09-07,6
payflow,Verification rejected my passport twice with no reason given.,2,2025-11-08,26
payflow,Clean app and the recipient management is well done.,5,2026-03-03,15
fittrack,I screenshot my stats each month because there is no proper export. On top of that pairing drops constantly and i have to re-pair the watch every week.,1,2025-10-06,7
nimbus,The upgrade screen does not say what the free tier actually loses.,3,2026-01-27,3
nimbus,I know the word is in there but search returns nothing. And then refund request has gone unanswered for two weeks.,2,2026-03-15,0
fittrack,Been using it for two years and the history view is excellent.,4,2025-12-24,0
nimbus,Cancelled the subscription and was billed again the following month.,1,2026-03-16,1
nimbus,The sync spinner runs forever and then just stops without an error. And then the upgrade screen does not say what the free tier actually loses.,1,2025-07-23,1
payflow,The chat bot loops back to the same articles and there is no human option. Otherwise a decent app.,2,2025-07-16,5
fittrack,Workouts on my watch never make it into the phone app.,2,2025-06-10,2
nimbus,Paying for a plan and still hitting a device limit is not acceptable.,2,2025-05-23,0
payflow,Account locked for a security check with no way to speak to anyone.,1,2025-06-12,1
nimbus,Recovered nothing after the update wiped my most recent entries.,1,2025-08-20,0
fittrack,Years of training history locked in with no export button anywhere. And then background tracking eats power even when i am not exercising.,2,2025-06-06,0
fittrack,I have started logging runs manually afterwards because the tracking cannot be trusted. Very frustrating.,2,2025-01-10,4
fittrack,I keep a power bank in my pocket now just to finish a long ride.,1,2025-07-31,32
nimbus,Recovered nothing after the update wiped my most recent entries.,1,2026-06-16,1
nimbus,Finding an old note takes longer than rewriting it.,3,2026-02-24,1
fittrack,GPS drifts badly so a five kilometre run is logged as seven. Also phone gets hot and the battery is dead before i get home.,1,2025-10-12,0
nimbus,Love the markdown support and the keyboard shortcuts. Nobody seems to be looking at it.,5,2025-08-18,13
payflow,I compare against another provider before every transfer now.,3,2025-09-24,0
nimbus,My notes stopped syncing between my laptop and my phone three days ago.,1,2025-04-15,0
nimbus,"I now write everything in another app first and paste it in, which defeats the point. On top of that searching only matches titles, never the body, so i scroll manually instead.",1,2025-01-21,3
fittrack,"Great app for keeping a streak going, the reminders work well. Genuinely considering switching.",5,2026-04-21,3
nimbus,Refund request has gone unanswered for two weeks. Nobody seems to be looking at it.,2,2025-05-29,3
nimbus,Finding an old note takes longer than rewriting it. Rating will go up when it is fixed.,2,2025-01-07,0
fittrack,The training plans are genuinely well designed and easy to follow.,5,2025-06-14,0
nimbus,Tags are useless because search ignores them completely. On top of that no autosave means one crash costs me a whole meeting's notes.,3,2025-02-14,1
fittrack,I have started logging runs manually afterwards because the tracking cannot be trusted. Also years of training history locked in with no export button anywhere. Otherwise a decent app.,1,2025-01-12,0
nimbus,Recovered nothing after the update wiped my most recent entries. Nobody seems to be looking at it.,1,2025-03-06,32
nimbus,The app closed itself and my unsaved draft was simply gone.,1,2025-06-01,0
fittrack,Years of training history locked in with no export button anywhere. Also i keep a power bank in my pocket now just to finish a long ride.,1,2025-08-02,5
nimbus,Paying for a plan and still hitting a device limit is not acceptable. On top of that i have taken to copying important notes into a plain text file as a backup.,2,2025-07-11,22
nimbus,Paying for a plan and still hitting a device limit is not acceptable.,2,2025-06-20,3
payflow,I gave up and opened an account with a competitor instead. Nobody seems to be looking at it.,1,2026-04-20,5
payflow,Support has not replied to my ticket in three weeks.,3,2025-01-27,17
nimbus,Refund request has gone unanswered for two weeks. Please fix this.,1,2026-03-16,7
fittrack,"Great app for keeping a streak going, the reminders work well.",5,2025-10-17,0
fittrack,There is no way to get my own data out in a usable format.,2,2025-09-09,1
fittrack,Export produces a file that no other fitness app will read.,2,2026-04-13,2
fittrack,Been using it for two years and the history view is excellent. Nobody seems to be looking at it.,5,2026-03-03,0
fittrack,Workouts on my watch never make it into the phone app.,2,2025-08-10,0
nimbus,"Had to log out and back in again to force a sync, which lost my drafts.",1,2026-02-16,0
payflow,Uploaded my documents four times and each time it asks again.,1,2026-06-09,0
nimbus,"Had to log out and back in again to force a sync, which lost my drafts.",1,2025-10-11,0
fittrack,Been using it for two years and the history view is excellent.,4,2025-11-11,5
payflow,Fees are not shown until after the transfer is authorised. But i use my bank's own app now because at least the transfers complete. Rating will go up when it is fixed.,2,2026-01-20,15
fittrack,Tracking a one hour walk drains forty percent of my battery. And then export produces a file that no other fitness app will read.,2,2026-03-29,8
payflow,Money disappeared for six days before reappearing with no message.,2,2026-05-16,67
nimbus,The sync spinner runs forever and then just stops without an error. And then i was charged for a yearly plan straight after the trial with no reminder.,2,2025-04-12,11
fittrack,"Distance is wrong every single time, so I now carry a separate watch.",2,2025-10-06,0
fittrack,"It takes four minutes to get a GPS lock, by which point I have started.",2,2025-07-29,0
nimbus,"Simple, quick and does exactly what I need day to day.",5,2025-01-10,0
fittrack,Pairing drops constantly and I have to re-pair the watch every week. Very frustrating.,1,2025-11-04,2
fittrack,Years of training history locked in with no export button anywhere.,3,2025-01-11,7
payflow,Much cheaper than my bank for international payments.,4,2025-10-02,0
fittrack,Export produces a file that no other fitness app will read.,1,2025-12-12,8
fittrack,I have started logging runs manually afterwards because the tracking cannot be trusted.,2,2026-06-03,0
fittrack,"It takes four minutes to get a GPS lock, by which point I have started.",1,2026-06-01,0
payflow,I compare against another provider before every transfer now. Please fix this.,2,2026-01-18,0
fittrack,I keep a power bank in my pocket now just to finish a long ride.,1,2025-01-18,4
fittrack,Interface is clear and logging a session takes seconds.,5,2025-07-01,20
fittrack,"I export from the watch app and import here manually, which is ridiculous.",2,2025-07-06,7
nimbus,Recovered nothing after the update wiped my most recent entries. Also finding an old note takes longer than rewriting it.,2,2025-08-09,6
fittrack,The training plans are genuinely well designed and easy to follow.,4,2025-05-17,0
fittrack,There is no way to get my own data out in a usable format.,1,2025-03-03,0
nimbus,I have taken to copying important notes into a plain text file as a backup.,1,2025-01-12,11
fittrack,Interface is clear and logging a session takes seconds.,5,2025-04-12,0
fittrack,Tracking a one hour walk drains forty percent of my battery.,1,2026-03-10,0
nimbus,Tags are useless because search ignores them completely. Nobody seems to be looking at it.,2,2026-06-29,0
nimbus,"Edits I make on the desktop never show up on mobile, so I email myself the text instead.",1,2025-03-21,2
nimbus,"Two devices, two different versions of the same note, no warning which is newer. Happens on both my devices.",1,2025-03-13,0
fittrack,Export produces a file that no other fitness app will read.,2,2025-02-10,31
nimbus,"Searching only matches titles, never the body, so I scroll manually instead. Nobody seems to be looking at it.",2,2025-06-11,0
fittrack,Been using it for two years and the history view is excellent.,5,2025-04-18,0
payflow,Transfer failed but the money left my account and has not come back. And then verification rejected my passport twice with no reason given.,1,2025-12-08,45
nimbus,Tags are useless because search ignores them completely.,2,2025-06-02,12
fittrack,The training plans are genuinely well designed and easy to follow. Happens on both my devices.,5,2025-02-27,3
nimbus,"Simple, quick and does exactly what I need day to day.",4,2026-04-05,0
payflow,Had to complain publicly before anyone responded to me.,3,2026-01-18,25
nimbus,Paying for a plan and still hitting a device limit is not acceptable.,1,2026-01-18,1
nimbus,The app closed itself and my unsaved draft was simply gone.,1,2026-01-22,0
nimbus,The sync spinner runs forever and then just stops without an error.,2,2026-03-02,3
payflow,I use my bank's own app now because at least the transfers complete. Also i compare against another provider before every transfer now.,2,2025-11-03,1
fittrack,Years of training history locked in with no export button anywhere.,1,2026-06-03,7
nimbus,My notes stopped syncing between my laptop and my phone three days ago. But search does not find text that i can see with my own eyes in a note.,1,2026-04-09,0
payflow,Had to complain publicly before anyone responded to me. On top of that i use my bank's own app now because at least the transfers complete.,2,2025-01-10,3
fittrack,Interface is clear and logging a session takes seconds.,5,2025-08-21,0
nimbus,Cancelled the subscription and was billed again the following month. On top of that finding an old note takes longer than rewriting it.,3,2025-03-17,0
nimbus,Clean interface and it stays out of the way when I am writing.,5,2025-09-24,4
fittrack,Phone gets hot and the battery is dead before I get home. But there is no way to get my own data out in a usable format.,1,2026-02-18,4
nimbus,Finding an old note takes longer than rewriting it. This has been going on for months now.,2,2025-08-01,0
fittrack,I screenshot my stats each month because there is no proper export.,1,2025-05-05,5
nimbus,"Best note app I have used, genuinely fast to open.",5,2025-06-04,3
nimbus,Finding an old note takes longer than rewriting it. But the app closed itself and my unsaved draft was simply gone.,2,2025-11-28,4
nimbus,Clean interface and it stays out of the way when I am writing.,5,2026-01-24,12
payflow,Support has not replied to my ticket in three weeks.,2,2026-03-06,1
nimbus,Love the markdown support and the keyboard shortcuts.,5,2025-10-01,0
payflow,"The app said the transfer succeeded, the recipient never received anything.",2,2025-12-05,0
nimbus,"Had to log out and back in again to force a sync, which lost my drafts.",2,2025-08-26,6
fittrack,Heart rate data is missing from half of my recorded sessions. On top of that i have started logging runs manually afterwards because the tracking cannot be trusted.,2,2025-03-25,0
nimbus,"Edits I make on the desktop never show up on mobile, so I email myself the text instead.",2,2025-08-02,14
payflow,Account locked for a security check with no way to speak to anyone.,1,2025-11-13,0
fittrack,The route map shows me running through buildings and across a river.,2,2026-04-08,0
payflow,I compare against another provider before every transfer now.,2,2025-01-17,0
payflow,I gave up and opened an account with a competitor instead. Also support has not replied to my ticket in three weeks.,1,2026-01-09,2
fittrack,"Great app for keeping a streak going, the reminders work well.",5,2026-06-24,1
payflow,Verification rejected my passport twice with no reason given. This has been going on for months now.,1,2025-11-03,3
fittrack,Phone gets hot and the battery is dead before I get home.,1,2026-03-23,1
payflow,Account locked for a security check with no way to speak to anyone. Please fix this.,1,2025-12-21,33
fittrack,Background tracking eats power even when I am not exercising.,1,2025-06-01,0
fittrack,Interface is clear and logging a session takes seconds.,4,2025-12-23,0
payflow,Transfer failed but the money left my account and has not come back.,2,2025-12-29,54
nimbus,"I now write everything in another app first and paste it in, which defeats the point. This has been going on for months now.",1,2025-09-04,12
payflow,The exchange rate at confirmation is worse than the one advertised.,2,2025-08-31,5
fittrack,There is no way to get my own data out in a usable format.,1,2025-02-21,0
fittrack,Phone gets hot and the battery is dead before I get home.,1,2025-01-18,0
nimbus,Finding an old note takes longer than rewriting it.,2,2025-07-20,0
nimbus,Refund request has gone unanswered for two weeks.,2,2026-03-15,0
payflow,I use my bank's own app now because at least the transfers complete.,1,2025-12-10,0
fittrack,Phone gets hot and the battery is dead before I get home. Otherwise a decent app.,1,2026-02-15,0
fittrack,The route map shows me running through buildings and across a river. Rating will go up when it is fixed.,1,2025-03-20,0
payflow,Fees are not shown until after the transfer is authorised.,2,2025-03-12,0
payflow,"Charged a fee for a transfer that then failed, and the fee was not refunded. And then verification rejected my passport twice with no reason given.",2,2025-06-28,12
nimbus,"Searching only matches titles, never the body, so I scroll manually instead. Also the sync spinner runs forever and then just stops without an error.",1,2025-11-05,0
payflow,"When it works the transfer arrives within minutes, which is impressive. Please fix this.",5,2025-01-29,3
nimbus,The app closed itself and my unsaved draft was simply gone.,1,2026-03-25,3
nimbus,Refund request has gone unanswered for two weeks.,1,2026-01-12,2
payflow,Verification rejected my passport twice with no reason given.,1,2025-09-24,2
fittrack,The watch and the app disagree about how many steps I took today.,3,2026-01-25,0
fittrack,The watch and the app disagree about how many steps I took today. On top of that gps drifts badly so a five kilometre run is logged as seven. Otherwise a decent app.,2,2026-05-02,7
nimbus,Notes I wrote on the train were gone by the time I opened the app at home.,1,2025-07-05,0
fittrack,"It takes four minutes to get a GPS lock, by which point I have started. Happens on both my devices.",1,2025-10-22,1
payflow,Account locked for a security check with no way to speak to anyone.,2,2025-05-18,0
nimbus,Clean interface and it stays out of the way when I am writing.,5,2025-04-15,3
nimbus,Recovered nothing after the update wiped my most recent entries. Also cancelled the subscription and was billed again the following month. Rating will go up when it is fixed.,2,2026-05-11,0
nimbus,"Had to log out and back in again to force a sync, which lost my drafts.",1,2025-02-21,3
fittrack,Been using it for two years and the history view is excellent.,5,2026-01-18,7
payflow,Uploaded my documents four times and each time it asks again.,1,2025-01-08,0
payflow,Had to complain publicly before anyone responded to me. Happens on both my devices.,2,2025-03-10,1
nimbus,Tags are useless because search ignores them completely. This has been going on for months now.,2,2026-03-30,5
payflow,I use my bank's own app now because at least the transfers complete. On top of that the chat bot loops back to the same articles and there is no human option.,1,2025-09-06,1
payflow,Much cheaper than my bank for international payments.,5,2025-11-08,3
payflow,Much cheaper than my bank for international payments.,5,2025-02-05,13
nimbus,Love the markdown support and the keyboard shortcuts.,5,2026-05-31,0
fittrack,The watch and the app disagree about how many steps I took today.,1,2025-06-04,2
fittrack,"It takes four minutes to get a GPS lock, by which point I have started. Also workouts on my watch never make it into the phone app.",1,2025-06-02,33
fittrack,Heart rate data is missing from half of my recorded sessions.,2,2025-02-26,12
payflow,The exchange rate at confirmation is worse than the one advertised. But uploaded my documents four times and each time it asks again. This has been going on for months now.,1,2026-06-03,20
nimbus,Clean interface and it stays out of the way when I am writing.,5,2026-06-30,1
fittrack,Background tracking eats power even when I am not exercising. And then pairing drops constantly and i have to re-pair the watch every week.,2,2026-03-08,0
payflow,Setting up a new recipient is quick and painless.,5,2025-08-17,0
payflow,Account locked for a security check with no way to speak to anyone.,2,2026-04-19,3
payflow,Uploaded my documents four times and each time it asks again. Also i use my bank's own app now because at least the transfers complete.,2,2026-02-14,0
payflow,I compare against another provider before every transfer now. But uploaded my documents four times and each time it asks again.,3,2025-09-27,2
payflow,Much cheaper than my bank for international payments. This has been going on for months now.,5,2025-11-27,13
nimbus,Recovered nothing after the update wiped my most recent entries. Happens on both my devices.,2,2026-01-11,0
fittrack,"Distance is wrong every single time, so I now carry a separate watch.",1,2026-04-08,0
fittrack,"I export from the watch app and import here manually, which is ridiculous. And then i have started logging runs manually afterwards because the tracking cannot be trusted.",2,2025-03-16,5
payflow,Much cheaper than my bank for international payments.,4,2025-07-16,3
nimbus,"Best note app I have used, genuinely fast to open.",5,2025-03-14,1
fittrack,Years of training history locked in with no export button anywhere.,2,2025-09-22,0
fittrack,The watch and the app disagree about how many steps I took today. Please fix this.,3,2025-09-19,3
fittrack,"Great app for keeping a streak going, the reminders work well. Genuinely considering switching.",5,2026-04-09,0
payflow,Had to complain publicly before anyone responded to me.,1,2025-03-07,15
