app_id,review_text,review_score,review_date,helpful_count
nimbus,,2,not a date,7
fittrack,The training plans are genuinely well designed and easy to follow.,4,2026-02-24,62
nimbus,"Best note app I have used, genuinely fast to open.",5,2026-01-08,0
fittrack,Background tracking eats power even when I am not exercising.,1,2025-02-14,18
payflow,"The app said the transfer succeeded, the recipient never received anything. Very frustrating.",1,2025-01-31,1
fittrack,Been using it for two years and the history view is excellent. Otherwise a decent app.,5,2026-01-29,0
nimbus,"Edits I make on the desktop never show up on mobile, so I email myself the text instead. Also refund request has gone unanswered for two weeks.",1,2025-07-08,0
nimbus,I have taken to copying important notes into a plain text file as a backup.,1,not a date,7
nimbus,Refund request has gone unanswered for two weeks.,2,2026-06-26,7
payflow,Verification rejected my passport twice with no reason given.,1,2026-02-01,0
fittrack,,1,2026-06-21,5
fittrack,Heart rate data is missing from half of my recorded sessions.,2,2026-04-17,0
payflow,I use my bank's own app now because at least the transfers complete. Otherwise a decent app.,1,2025-06-16,5
payflow,Money disappeared for six days before reappearing with no message. And then had to complain publicly before anyone responded to me.,1,2025-03-21,0
fittrack,There is no way to get my own data out in a usable format.,2,not a date,4
fittrack,Tracking a one hour walk drains forty percent of my battery. Please fix this.,2,2026-03-29,0
nimbus,Sync silently fails and I only notice when a note is missing at work.,1,2025-07-25,6
fittrack,Tracking a one hour walk drains forty percent of my battery. And then pace readings jump around wildly and ruin the whole activity.,1,2025-01-09,0
payflow,I compare against another provider before every transfer now. But no phone number anywhere for an issue involving actual money.,1,2025-01-09,1
fittrack,Heart rate data is missing from half of my recorded sessions. Also years of training history locked in with no export button anywhere. Happens on both my devices.,3,2025-12-18,0
fittrack,,5,2025-06-30,6
fittrack,GPS drifts badly so a five kilometre run is logged as seven.,1,not a date,3
nimbus,I was charged for a yearly plan straight after the trial with no reminder.,3,2025-12-04,11
payflow,"The chat bot loops back to the same articles and there is no human option. But the app said the transfer succeeded, the recipient never received anything.",3,2025-07-21,0
fittrack,The route map shows me running through buildings and across a river. Also years of training history locked in with no export button anywhere.,1,2025-08-26,0
